Rank;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
1;Wii;2006;Sports;Nintendo;41.49;29.02;3.77;8.46;82.74
2;NES;1985;Platform;Nintendo;29.08;3.58;6.81;0.77;40.24
3;Wii;2008;Racing;Nintendo;15.85;12.88;3.79;3.31;35.82
4;Wii;2009;Sports;Nintendo;15.75;11.01;3.28;2.96;33
5;GB;1996;Role-Playing;Nintendo;11.27;8.89;10.22;1;31.37
6;GB;1989;Puzzle;Nintendo;23.2;2.26;4.22;0.58;30.26
7;DS;2006;Platform;Nintendo;11.38;9.23;6.5;2.9;30.01
8;Wii;2006;Misc;Nintendo;14.03;9.2;2.93;2.85;29.02
9;Wii;2009;Platform;Nintendo;14.59;7.06;4.7;2.26;28.62
10;NES;1984;Shooter;Nintendo;26.93;0.63;0.28;0.47;28.31
11;DS;2005;Simulation;Nintendo;9.07;11;1.93;2.75;24.76
12;DS;2005;Racing;Nintendo;9.81;7.57;4.13;1.92;23.42
13;GB;1999;Role-Playing;Nintendo;9;6.18;7.2;0.71;23.1
14;Wii;2007;Sports;Nintendo;8.94;8.03;3.6;2.15;22.72
15;Wii;2009;Sports;Nintendo;9.09;8.59;2.53;1.79;22
16;X360;2010;Misc;Microsoft Game Studios;14.97;4.94;0.24;1.67;21.82
17;X360;2013;Action;Take-Two Interactive;9.63;5.31;0.06;1.38;16.38
18;PS2;2002;Action;Take-Two Interactive;8.41;5.49;0.47;1.78;16.15
19;SNES;1990;Platform;Nintendo;12.78;3.75;3.54;0.55;20.61
20;DS;2005;Misc;Nintendo;4.75;9.26;4.16;2.05;20.22
21;DS;2006;Role-Playing;Nintendo;6.42;4.52;6.04;1.37;18.36
22;GB;1989;Platform;Nintendo;10.83;2.71;4.18;0.42;18.14
23;NES;1988;Platform;Nintendo;9.54;3.44;3.84;0.46;17.28
24;PS2;2001;Action;Take-Two Interactive;6.99;4.51;0.3;1.3;13.1
25;PS4;2014;Action;Take-Two Interactive;3.8;5.81;0.36;2.02;11.98
26;GBA;2002;Role-Playing;Nintendo;6.06;3.9;5.38;0.5;15.85
27;DS;2010;Role-Playing;Nintendo;5.57;3.28;5.65;0.82;15.32
28;DS;2005;Puzzle;Nintendo;3.44;5.36;5.32;1.18;15.3
29;PS;1997;Racing;Sony Computer Entertainment;4.02;3.87;2.54;0.52;10.95
30;X360;2011;Shooter;Activision;9.03;4.28;0.13;1.32;14.76
31;GB;1998;Role-Playing;Nintendo;5.89;5.04;3.12;0.59;14.64
32;X360;2010;Shooter;Activision;9.67;3.73;0.11;1.13;14.64
33;3DS;2013;Role-Playing;Nintendo;5.17;4.05;4.34;0.79;14.35
34;PS4;2015;Shooter;Activision;5.77;5.81;0.35;2.31;14.24
35;PS3;2012;Shooter;Activision;4.99;5.88;0.65;2.52;14.03
36;X360;2012;Shooter;Activision;8.25;4.3;0.07;1.12;13.73
37;X360;2009;Shooter;Activision;8.52;3.63;0.08;1.29;13.51
38;PS3;2011;Shooter;Activision;5.54;5.82;0.49;1.62;13.46
39;X360;2008;Action;Take-Two Interactive;6.76;3.1;0.14;1.03;11.02
40;Wii;2008;Fighting;Nintendo;6.75;2.61;2.66;1.02;13.04
41;PS3;2010;Shooter;Activision;5.98;4.44;0.48;1.83;12.73
42;DS;2005;Simulation;Nintendo;2.55;3.52;5.33;0.88;12.27
43;3DS;2011;Racing;Nintendo;4.74;3.91;2.67;0.89;12.21
44;X360;2007;Shooter;Microsoft Game Studios;7.97;2.83;0.13;1.21;12.14
45;PS3;2008;Action;Take-Two Interactive;4.76;3.76;0.44;1.62;10.57
46;DS;2009;Action;Nintendo;4.4;2.77;3.96;0.77;11.9
47;N64;1996;Platform;Nintendo;6.91;2.85;1.91;0.23;11.89
48;PS3;2010;Racing;Sony Computer Entertainment;2.96;4.88;0.81;2.12;10.77
49;Wii;2007;Platform;Nintendo;6.16;3.4;1.2;0.76;11.52
50;3DS;2014;Role-Playing;Nintendo;4.23;3.37;3.08;0.65;11.33
51;GB;1992;Adventure;Nintendo;6.16;2.04;2.69;0.29;11.18
